dataset,split,seed,device,model,seconds,hours,human,source,note
lipophilicity,scaffold,2,gpu,D-MPNN (2D),115531.12,32.092,32h 5m 31s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,2,gpu,GIN (2D),336.0,0.0933,5m 36s,history_mtime,approx from history file mtime deltas (from SLURM job start; includes setup)
lipophilicity,scaffold,2,gpu,GIN (3D),254.29,0.0706,4m 14s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,2,gpu,SMILES LSTM,710.03,0.1972,11m 50s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,2,gpu,SchNet (3D coords),384.31,0.1068,6m 24s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,3,gpu,D-MPNN (2D),132866.48,36.9074,36h 54m 26s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,3,gpu,GIN (2D),224.66,0.0624,3m 45s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,3,gpu,GIN (3D),284.37,0.079,4m 44s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,3,gpu,SMILES LSTM,703.48,0.1954,11m 43s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,3,gpu,SchNet (3D coords),360.36,0.1001,6m 0s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,4,gpu,D-MPNN (2D),128540.3,35.7056,35h 42m 20s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,4,gpu,GIN (2D),184.24,0.0512,3m 4s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,4,gpu,GIN (3D),218.45,0.0607,3m 38s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,4,gpu,SMILES LSTM,502.97,0.1397,8m 23s,notebook_cell,Jupyter cell wall time (HPO + final train)
lipophilicity,scaffold,4,gpu,SchNet (3D coords),321.05,0.0892,5m 21s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,0,gpu,D-MPNN (2D),134134.65,37.2596,37h 15m 35s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,0,gpu,GIN (2D),211.82,0.0588,3m 32s,notebook_cell,Jupyter cell wall time (HPO + final train)
